"id","name","created","issn","homepage"
"2764435191","British ceramic. Transactions and journal","2017-10-27","0266-7606",NULL
"2764507243","Journal of Japan Society of Dam Engineers","2017-10-27","0917-3145",NULL
"2764537645","Journal of oral tissue engineering","2017-10-27","1348-9623",NULL
"2764576111","ATZ worldwide","2017-10-27",NULL,NULL
"2764592953","Sport Science Review","2017-10-27","2069-7244",NULL
"2764644309","Aluminum AlloysStructure and Properties","2017-10-27",NULL,NULL
"2764653818","New England Journal of Public Policy","2017-10-27","0749-016X",NULL
"2764737005","Research Journal of Pharmacy and Technology","2017-10-27","0974-3618",NULL
"2764740748","Taiwanese Journal of Agricultural Chemistry and Food Science","2017-10-27","1605-2471",NULL
"2764747635","The Journal of European economic history","2017-10-27","0391-5115",NULL
"2764833320","Clinical and Experimental Pharmacology","2017-10-27","2161-1459",NULL
"2764874868","Datamation archive","2017-10-27","0011-6963",NULL
"2764878147","Journal of the Association of Official Agricultural Chemists","2017-10-27",NULL,NULL
"2764886562","Learning and leading with technology","2017-10-27","1082-5754",NULL
"2764964501","Journal on Educational Technology","2017-10-27",NULL,NULL
"2764981211","against the grain","2017-10-27","1043-2094",NULL
"2765008699","Journal of Korean Society of Archives and Records Management","2017-10-27","1598-1487",NULL
"2765028038","International Journal of Modern Nonlinear Theory and Application","2017-10-27","2167-9487",NULL
"2765039750","Cumhuriyet International Journal of Education","2017-10-27","2147-1606",NULL
"2765056515","International Review of Mechanical Engineering-IREME","2017-10-27","1970-8734",NULL
"2765070108","Collegiate Microcomputer archive","2017-10-27",NULL,NULL
"2765078764","Transportation research circular","2017-10-27",NULL,NULL
"2913130013","Journal of Sasang Constitutional Medicine","2019-02-21","1226-4075","http://www.jscm.or.kr"
"2921134190","arXiv: Applied Physics","2019-03-22",NULL,NULL
"2764492969","Adult learning","2017-10-27","1045-1595",NULL
"4835602","Restoration: Studies in English Literary Culture, 1660-1700","2016-06-24","0162-9905",NULL
"4888523","Economics of Education Review","2016-06-24","0272-7757",NULL
"9665008","Cardiology Journal","2016-06-24","1898-018X",NULL
"9733959","Australasian Biotechnology","2016-06-24","1036-7128",NULL
"11710983","Biomechanics and Modeling in Mechanobiology","2016-06-24","1617-7959","http://www.springer.com/journal/1023"
"16821847","The Holocene","2016-06-24","0959-6836","http://hol.sagepub.com"
"18964055","Pathobiology","2016-06-24","1015-2008",NULL
"19441518","Journal of Ceramic Processing Research","2016-06-24","1229-9162",NULL
"23181512","Nanoscale","2016-06-24","2040-3364","http://pubs.rsc.org/en/journals/journalissues/n"
"23186298","Journal of Aquatic Food Product Technology","2016-06-24","1049-8850",NULL
"27014582","Boletim Do Instituto De Pesca","2016-06-24","0046-9939",NULL
"29138406","The Hemingway Review","2016-06-24","0276-3362",NULL
